,index,entitiy,type
0,1,ディフェンス,OTHER
1,1,オフェンス,OTHER
2,1,ドリブル,OTHER
3,1,バランス,OTHER
4,1,セカンドボール,CONSUMER_GOOD
5,1,反応,EVENT
6,2,アプデ,CONSUMER_GOOD
7,2,プレー,EVENT
8,2,限り,OTHER
9,2,事,OTHER
10,3,ネット環境,OTHER
11,3,問題,OTHER
12,3,画面,OTHER
13,3,スマホ,CONSUMER_GOOD
14,3,サッカーゲーム,CONSUMER_GOOD
15,3,内容,OTHER
16,3,プレイヤー,PERSON
17,3,無課金,OTHER
18,3,コイン,OTHER
19,3,GP,ORGANIZATION
20,3,ユーザー,PERSON
21,3,147,NUMBER
22,4,回線,OTHER
23,4,相手,PERSON
24,4,division4,OTHER
25,4,上,OTHER
26,4,他,OTHER
27,4,レビュー,WORK_OF_ART
28,4,エフェクト,OTHER
29,4,試合,EVENT
30,4,クリアボール,CONSUMER_GOOD
31,4,ボール,CONSUMER_GOOD
32,4,ゴール,OTHER
33,4,電波状況,OTHER
34,4,違い,OTHER
35,4,マッチング,OTHER
36,4,動き,EVENT
37,4,チャンス,OTHER
38,4,相手ボール,OTHER
39,4,攻撃,EVENT
40,4,カウンター,OTHER
41,4,入力,EVENT
42,4,動作,EVENT
43,4,人,PERSON
44,4,ディフェンス,OTHER
45,4,４,NUMBER
46,4,２,NUMBER
47,4,2,NUMBER
48,4,3,NUMBER
49,5,オンライン対戦,EVENT
50,5,対戦,EVENT
51,5,AI対戦,EVENT
52,5,対人戦,EVENT
53,5,アプデ,CONSUMER_GOOD
54,5,方,PERSON
55,5,容量,OTHER
56,5,森保,PERSON
57,5,気,OTHER
58,5,ゲーム,CONSUMER_GOOD
59,5,容量不足,OTHER
60,5,改善,EVENT
61,5,日本,LOCATION
62,5,次回,OTHER
63,5,ワールドカップ,EVENT
64,5,代表,PERSON
65,5,致し方,OTHER
66,5,ベスト,OTHER
67,5,不具合,OTHER
68,5,バグ,OTHER
69,5,26,NUMBER
70,5,8,NUMBER
71,6,updates,OTHER
72,6,playability bugs,OTHER
73,6,blackouts,OTHER
74,6,set pieces,OTHER
75,6,corners,OTHER
76,6,goal,OTHER
77,6,frame chops,OTHER
78,6,things,OTHER
79,6,patch,CONSUMER_GOOD
80,6,problem,OTHER
81,6,replays,EVENT
82,6,gameplay,OTHER
83,6,bugs,OTHER
84,6,things,OTHER
85,6,bit,OTHER
86,6,features,OTHER
87,6,stars,OTHER
88,6,faith,OTHER
89,6,update,OTHER
90,6,Konami,ORGANIZATION
91,6,3,NUMBER
92,7,glitch,OTHER
93,7,android,OTHER
94,7,player,PERSON
95,7,player,PERSON
96,7,problem,OTHER
97,7,player,PERSON
98,7,game,WORK_OF_ART
99,7,AI,ORGANIZATION
100,7,android,OTHER
101,7,game,EVENT
102,7,ios,OTHER
103,7,teammate,PERSON
104,8,star,OTHER
105,8,Players,PERSON
106,8,controls,OTHER
107,8,passing,OTHER
108,8,momentum,OTHER
109,8,players,PERSON
110,8,objectives,OTHER
111,8,possession,OTHER
112,8,Dribbling,EVENT
113,8,truck,CONSUMER_GOOD
114,8,ages,OTHER
115,8,Defenders,PERSON
116,8,game modes,OTHER
117,8,page,OTHER
118,8,pes game,OTHER
119,8,return,OTHER
120,8,Buggy,OTHER
121,8,nothing,OTHER
122,8,attackers,PERSON
123,8,menus,OTHER
124,8,WOAT,ORGANIZATION
125,8,0,NUMBER
126,8,one,NUMBER
127,8,1,NUMBER
128,9,joystick,OTHER
129,9,problems,OTHER
130,9,issue,OTHER
131,9,settings,OTHER
132,9,game,WORK_OF_ART
133,9,thing,OTHER
134,9,development,OTHER
135,9,player,PERSON
136,9,World Cup,EVENT
137,9,cup,OTHER
138,9,computer,CONSUMER_GOOD
139,9,player,PERSON
140,9,example,OTHER
141,9,speed,OTHER
142,9,One,NUMBER
143,10,one,OTHER
144,10,games,WORK_OF_ART
145,10,feature,WORK_OF_ART
146,10,matches,EVENT
147,10,additions,OTHER
148,10,substitution,OTHER
149,10,representation,OTHER
150,10,stats,OTHER
151,10,player,PERSON
152,10,team,ORGANIZATION
153,10,example,OTHER
154,10,trophies,OTHER
155,10,boots,CONSUMER_GOOD
156,10,features,OTHER
157,10,game,EVENT
158,10,tournaments,EVENT
159,10,one,NUMBER
