index,lang,text
1,ja,ディフェンスとオフェンスのドリブル時のバランスが良くなっている。ただセカンドボールへの反応が悪すぎるので、そこを改善してもらえるとありがたいです。
2,ja,アプデ前まで普通に出来てたのが、アプデ後になっていきなりプレーが切れる度に重くなったりフリーズするようになった。できる限りの事はやったけど変わらなかった。これで回線切れることもたまにあるのでどうにかして欲しい。
3,ja,"ネット環境の問題も全くないのに画面がカクカクすることがある。 でも、スマホなどのサッカーゲームとしては良くできているなと思います。 無課金でも楽しめるような内容にしてほしいです。（コインやGPが貯まるとプレイヤーも楽しめます。） 毎日楽しくプレイさせてもらってます。 これからもよろしくお願いします。
147 人のユーザーが、こ"
4,ja,最初の頃は楽しくやっていたが、ここ最近は、division4から上にかけて、回線操作なのか他のレビューでもあるエフェクト？効果なのかまともに操作できない。それにより、勝てる試合も勝てなくなっている。マッチングのときの電波状況もあてになりません。４だろうが２だろうがまったく違いなし。 相手の攻撃時は普通なのに、こちらのチャンス時にはなぜか動きが鈍くなるし、なぜかすべて必ず相手ボールになってしまいカウンターくらいゴールされる。 ディフェンス時も同様で、こちらが操作しようと思うと入力からワンテンポ以上遅れての動作により相手にすぐカットされるか、なぜか必ず相手にクリアボールがいき、ゴールを許す。そうでなくても必ず相手にボールが跳ね返るようになっている。 結局、回線の強い人？=division1.2.3あたりに集中している。
5,ja,オンライン対戦のときAI対戦の時より操作しづらいです。対人戦はやりません。AI対戦の時の方が個人的にはやり易いです。アプデの時毎度容量空けておかないと容量不足になるのでなるべく気を付けるようにしてます。普通に楽しんでやったりガチャやったりする分には楽しいですし、ゲーム自体は好きです！その分容量が多くなるのは致し方ないのかなと思ってます。不具合やバグはつきものだと思いますので改善や改良しながらアプデしてサッカー好きなのでこれからもプレーしていこうと思います！次回26年ワールドカップ楽しみです！どんな違った日本代表がみれるかいろんな賛否両論ありますが森保監督に期待したいと思います！ベスト8へ！いけたらさらに上へ！
6,en,"This new updates has quite some playability bugs, like multiple blackouts in set pieces, corners or even after you score a goal and such. There's also a problem that things get very laggy with heavy frame chops during replays, which also affects the gameplay afterwards. I hope the next patch comes very soon since this new update is very unstable and almost unplayable. Appreciate the new features a bit though, even when the bugs ruin things. Gave a 3 stars since I still have some faith in Konami"
7,en,"It's playable but there is a glitch in android when my player passes to another player, even though I'm pressing dash the player just stops running. (I tried the game on a ios and the problem is not there but on other android it's still there.) The teammate AI is terrible as well, they don't go forward when it's needed. Please, fix it! It's a really fun game!"
8,en,1 star. Would give it 0 if I could. The controls are horrible. The passing is slow and you can't build any momentum. Dribbling feels like driving a truck. Takes ages for players to turn. Players look lost whenever they lose possession and they don't try to win it back. Defenders just walk right past attackers without even tackling. The menus are just cramped into one page. Many good game modes removed. They objectives give basically nothing in return. Buggy and scripted. WOAT pes game.
9,en,"There are many problems here. Like, while kicking it keeps asking me how to kick. I have faced lagging issue when I was playing international cup. This game needs more development. It would be nice if all the settings could be saved and the World Cup could be played both computer and online. One more thing, if the player's speed was given to the left joystick. For example, if you pull the joystick slowly, the player will run slowly, and if you pull it hard, it will run fast."
10,en,"I think it is one of the best games , I have ever played. There can be some additions. For example. There should be a feature which tells about the stats of that player with my team. There should be representation when there is substitution. There should be more tournaments except the casual matches which could provide us with trophies and boots. These features could make the game more interactive and addictive"
