timestamp,test_loss,test_f1,test_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,batch_size,epoc,task,data_size
20220620_11:10:30,0.3923862278461456,0.7067291859732213,0.778,1.742,574.067,57.407,10,30,japanese-roberta-base-finetuned-100_test_samples_,100
20220620_11:11:35,0.3923862278461456,0.7067291859732213,0.778,1.742,574.067,57.407,10,30,japanese-roberta-base-finetuned-100_test_samples_,100
20220620_11:17:24,0.3922708034515381,0.6987800403595671,0.774,1.7774,562.63,56.263,10,30,japanese-roberta-base-finetuned-100_test_samples_,100
20220620_11:31:20,0.4321716725826263,0.572208293709115,0.72,3.4548,289.45,28.945,10,30,japanese-roberta-base-finetuned-100_test_samples_,100
20220620_11:37:00,0.296066403388977,0.7807589785542541,0.837,1.7217,580.816,58.082,10,30,japanese-roberta-base-finetuned-400_test_samples_,400
20220620_11:42:19,0.4471774995326996,0.7708853533935542,0.819,3.632,275.331,27.533,10,30,japanese-roberta-base-finetuned-400_test_samples_,400
20220620_11:48:16,0.3474219441413879,0.7694298510013035,0.816,1.5603,640.889,64.089,10,30,japanese-roberta-base-finetuned-400_test_samples_,400
20220620_11:57:19,0.4049399495124817,0.7950372264668962,0.854,1.8374,544.239,54.424,10,30,japanese-roberta-base-finetuned-800_test_samples_,800
20220620_12:05:17,0.2744696736335754,0.8381788644060734,0.873,1.814,551.278,55.128,10,30,japanese-roberta-base-finetuned-800_test_samples_,800
20220620_12:10:54,0.3008087277412414,0.7992833663023934,0.843,1.8131,551.549,55.155,10,30,japanese-roberta-base-finetuned-800_test_samples_,800
20220620_12:18:47,0.2743279933929443,0.8369360086595753,0.871,1.8408,543.25,54.325,10,30,japanese-roberta-base-finetuned-1200_test_samples_,1200
20220620_12:40:09,0.3069009184837341,0.8310782594544985,0.869,1.7201,581.349,58.135,10,30,japanese-roberta-base-finetuned-1200_test_samples_,1200
20220620_12:53:10,0.454167902469635,0.8229913779797927,0.856,1.661,602.061,60.206,10,30,japanese-roberta-base-finetuned-1200_test_samples_,1200
20220620_13:12:44,0.5216474533081055,0.834362596244612,0.873,1.8238,548.296,54.83,10,30,japanese-roberta-base-finetuned-2000_test_samples_,2000
20220620_13:31:21,0.5544406771659851,0.8324614951671782,0.871,1.9135,522.614,52.261,10,30,japanese-roberta-base-finetuned-2000_test_samples_,2000
20220620_13:44:34,0.40219447016716,0.8141796312542838,0.856,1.7987,555.965,55.597,10,30,japanese-roberta-base-finetuned-2000_test_samples_,2000
20220620_13:59:32,0.2717611789703369,0.8592332090596839,0.889,1.7345,576.543,57.654,10,30,japanese-roberta-base-finetuned-4000_test_samples_,4000
20220620_14:13:55,0.6114493608474731,0.8439725687845988,0.88,1.7846,560.349,56.035,10,30,japanese-roberta-base-finetuned-4000_test_samples_,4000
20220620_21:01:33,0.6112823486328125,0.8480228690528208,0.881,1.6184,617.89,61.789,10,30,japanese-roberta-base-finetuned-4000_test_samples_,4000
20220621_10:47:30,0.2121258080005645,0.8575542398945185,0.887,4.4621,224.109,22.411,10,30,japanese-gpt2-medium-finetuned-4000_test_samples_,4000
20220621_11:37:14,0.4625310599803924,0.8693550377256037,0.896,2.9778,335.814,33.581,10,30,japanese-gpt2-medium-finetuned-4000_test_samples_,4000
20220621_12:13:03,0.2242455333471298,0.827044170942275,0.867,2.8234,354.179,35.418,10,30,japanese-gpt2-medium-finetuned-4000_test_samples_,4000
20220621_12:43:20,0.3339992761611938,0.8647296689238755,0.889,4.385,228.052,22.805,10,30,japanese-gpt2-medium-finetuned-2000_test_samples_,2000
